Bandit,Reward,Algorithm
1,1.7647249075617404,ThompsonSampling
1,2.4766016199499834,ThompsonSampling
1,2.682982425134968,ThompsonSampling
0,2.2183808229372515,ThompsonSampling
2,2.7762012622767385,ThompsonSampling
1,1.4960158829292842,ThompsonSampling
0,0.5374313133848347,ThompsonSampling
0,2.3371115408983707,ThompsonSampling
0,1.0528316246302727,ThompsonSampling
2,2.5634229155457002,ThompsonSampling
0,1.237275620945535,ThompsonSampling
0,1.403785383239958,ThompsonSampling
0,2.045372342236261,ThompsonSampling
0,0.057791184274254115,ThompsonSampling
1,1.99887621527814,ThompsonSampling
0,-0.3062015611309681,ThompsonSampling
2,2.4831698735342522,ThompsonSampling
0,1.4496659220344577,ThompsonSampling
3,2.535121634580987,ThompsonSampling
0,3.167599182805478,ThompsonSampling
1,0.5204250162015445,ThompsonSampling
1,0.3410820541401234,ThompsonSampling
1,0.23926881664877997,ThompsonSampling
3,3.8591849925492365,ThompsonSampling
2,2.8139359485500606,ThompsonSampling
1,2.981860356174559,ThompsonSampling
1,2.8371699669896953,ThompsonSampling
3,2.099230878253677,ThompsonSampling
0,0.4492105364158995,ThompsonSampling
1,1.8467294800095777,ThompsonSampling
1,2.1200570509113144,ThompsonSampling
3,5.800378846334289,ThompsonSampling
1,2.940803671898696,ThompsonSampling
0,-0.7683099703727077,ThompsonSampling
1,1.7047066404874553,ThompsonSampling
0,0.8990500001168762,ThompsonSampling
0,0.92220751879555,ThompsonSampling
1,1.7498845964872627,ThompsonSampling
1,2.1003303314958797,ThompsonSampling
1,4.26555716169521,ThompsonSampling
1,2.0399796859780457,ThompsonSampling
3,4.298073529065872,ThompsonSampling
1,3.4095003916794813,ThompsonSampling
2,4.719963126553457,ThompsonSampling
1,0.6877117721230857,ThompsonSampling
1,2.3526941554773053,ThompsonSampling
1,2.4834485507077835,ThompsonSampling
1,2.3653369246452836,ThompsonSampling
2,3.1763858419568427,ThompsonSampling
2,2.9517017893025908,ThompsonSampling
1,2.162596267508219,ThompsonSampling
3,3.266789300959047,ThompsonSampling
1,1.516543804279478,ThompsonSampling
1,2.236428375223908,ThompsonSampling
3,3.9104765157325465,ThompsonSampling
1,2.057720990936637,ThompsonSampling
3,4.741052643153807,ThompsonSampling
1,2.0880685477581467,ThompsonSampling
3,4.1367724872241425,ThompsonSampling
1,0.9595093566717539,ThompsonSampling
1,1.735940948234697,ThompsonSampling
1,0.1254183714770487,ThompsonSampling
1,3.3261889292201374,ThompsonSampling
1,1.3264397224714777,ThompsonSampling
1,3.54773324403528,ThompsonSampling
1,3.031996711357083,ThompsonSampling
3,5.876344481496547,ThompsonSampling
1,1.860297864747385,ThompsonSampling
3,4.0029164057987145,ThompsonSampling
1,2.89166386839791,ThompsonSampling
1,3.442997849281306,ThompsonSampling
1,4.665642542483592,ThompsonSampling
1,2.1755905093256587,ThompsonSampling
1,0.0336685547515132,ThompsonSampling
3,6.404936859593184,ThompsonSampling
1,1.8038335531346221,ThompsonSampling
1,3.6059722352372683,ThompsonSampling
1,-0.577756522812618,ThompsonSampling
3,3.173093900264365,ThompsonSampling
2,3.7537673188942287,ThompsonSampling
1,1.5719281084000847,ThompsonSampling
1,1.0609762369136726,ThompsonSampling
3,3.529858594253625,ThompsonSampling
1,0.7468906301968374,ThompsonSampling
2,2.38573540307965,ThompsonSampling
1,3.652144027744859,ThompsonSampling
3,3.924044662224721,ThompsonSampling
1,1.5796444066895725,ThompsonSampling
2,1.108955170094283,ThompsonSampling
1,0.6806121192598467,ThompsonSampling
1,1.6823853011655276,ThompsonSampling
1,3.278628871457264,ThompsonSampling
3,4.76488762877318,ThompsonSampling
1,2.019265603155606,ThompsonSampling
1,1.0223395003201938,ThompsonSampling
1,2.3795386900855933,ThompsonSampling
2,3.3164488225838644,ThompsonSampling
1,2.745022142453518,ThompsonSampling
3,3.5829560869091326,ThompsonSampling
3,3.1023998819599217,ThompsonSampling
1,1.3446238230944667,ThompsonSampling
1,1.0893841213265048,ThompsonSampling
1,4.848869982891484,ThompsonSampling
2,2.8614986304567465,ThompsonSampling
3,4.911471717190617,ThompsonSampling
3,4.0854150327036995,ThompsonSampling
1,2.370722984272045,ThompsonSampling
1,1.980210170691709,ThompsonSampling
1,2.147540729183207,ThompsonSampling
1,2.9238776101853072,ThompsonSampling
2,2.620522020667216,ThompsonSampling
3,3.4359351349367597,ThompsonSampling
2,1.9951009835935616,ThompsonSampling
1,1.741751603103975,ThompsonSampling
3,3.8451763446037894,ThompsonSampling
1,1.1378914162149818,ThompsonSampling
